Author,Title,Edition,Publisher,Imprint,Course,Section,Professor,Course Capacity,Actual Enrollment,ISBN
RATNER,BIOMATERIALS SCIENCE,3RD 13,ELSEVIER,ACAD,BME 0153;CHBE 0164,01;01,"LIMEM,SKANDER;LIMEM,SKANDER",60;60,0;0,9780123746269
RATNER,EBK BIOMATERIALS SCIENCE: AN INTRODUCTI,3,AC YUZU,ACADEMIC P,BME 0153;CHBE 0164,01;01,"LIMEM,SKANDER;LIMEM,SKANDER",60;60,0;0,2813025175152
RIEGELMAN,PUBLIC HEALTH 101-W/ACCESS,3RD 19,JONES+BART,JONES+BART,CH 0001,01,STAFF,60,0,9781284118445
ROBERT,EBK SPECTROMETRIC IDENTIFICATION OF ORG,8,AC YUZU,WILEY,CHEM 0155,01,"STOLOW,ROBERT D",30,0,2813024158606
ROBERT,EBK SPECTROMETRIC IDENTIFICATION OF ORG,8,AC YUZU,WILEY,CHEM 0155,01,"STOLOW,ROBERT D",30,0,2813036638288
ROLLINS,MEETING CHILDREN'S PSYCHOSOCIAL NEEDS,2ND 18,PRO-ED,0,CSHD 0100,01,"MODRY-MANDELL,KERRI",10,0,9781416410805
ROLYAN,TAILOR SPLINT MATERIAL,SAMMONS PR,0,0,OTS 0224,01,"BROOKS,JANET CURRAN",30,0,2818740144681
ROPER,EBK OEDIPUS AND THE DEVIL,1,AC YUZU,ROUTLEDGE,HIST 0155;WGSS 0185,80;07,"RANKIN,ALISHA;RANKIN,ALISHA",20;20,0;0,2813024332129
ROPER,EBK OEDIPUS AND THE DEVIL,1,AC YUZU,ROUTLEDGE,HIST 0155;WGSS 0185,80;07,"RANKIN,ALISHA;RANKIN,ALISHA",20;20,0;0,2813026579492
ROPER,OEDIPUS+THE DEVIL,94,TAYLOR,0,HIST 0155;WGSS 0185,80;07,"RANKIN,ALISHA;RANKIN,ALISHA",20;20,0;0,9780415105811
ROSENBERG,EBK ABNORMAL PSYCHOLOGY,2,AC YUZU,BEDFORD/ST,PSY 0012,01,"MASCHER,JACKQUELYN",80,0,2813025533082
ROSENBERG,EBK ABNORMAL PSYCHOLOGY,2,AC YUZU,BEDFORD/ST,PSY 0012,01,"MASCHER,JACKQUELYN",80,0,2813027305038
ROSENBOUND,ENVRONMENTAL & MAKING SENSE PKG,17,SAGE,SAGE,ENV 0135,01,"STEIN,NINIAN",32,0,9781544300153
ROSS,EBK INTRODUCTORY STATISTICS,4,AC YUZU,ACADEMIC P,EC 0013,01,"DOWNES,THOMAS",110,0,2813029007800
ROSS,EBK INTRODUCTORY STATISTICS,4,AC YUZU,ACADEMIC P,EC 0013,01,"DOWNES,THOMAS",110,0,2813035300964
ROTHSTEIN,EBK THE COLOR OF LAW: A FORGOTTEN HISTO,0,AC YUZU,W. W. NORT,UEP 0113;UEP 0213,01;01,"GREENSTEIN,ROSALIND;GREENSTEIN,ROSALIND",5;20,0;0,2813029243574
ROUSSEAU,EBK ON THE SOCIAL CONTRACT,0,AC YUZU,DOVER PUBL,HIST 0159,82,"FOSTER,ELIZABETH",25,0,2813026138873
ROUSSEAU,LES REVERIES DU PROMENEUR SOLITAIRE,12,FLAMMARION,FLAMMARION,FR 0031,C,"NAGINSKI,ISABELLE H",18,0,9782081275263
ROY,GOD OF SMALL THINGS,97,PENG RAND,0,ENG 0129,01,"LURZ,JOHN",25,0,9780812979657
ROZAKIS,EBK SCHAUM'S QUICK GUIDE TO WRITING GRE,2,AC YUZU,MCGRAW-HIL,DHP H261;HIST 0209,01;01,"FAWAZ,LEILA;FAWAZ,LEILA",0;10,0;0,2813022239444
RUDIN,REAL+COMPLEX ANALYSIS,3RD 87,MCG,MCG,MATH 0235,01,"GONZALEZ,FULTON B",34,0,9780070542341
RUSSELL,EBK ARTIFICIAL INTELLIGENCE,3,AC YUZU,MICROSOFT,COMP 0131,01,"SANTINI,FABRIZIO",55,0,2813024102661
RUSSELL,EBK ARTIFICIAL INTELLIGENCE,3,AC YUZU,MICROSOFT,COMP 0131,01,"SANTINI,FABRIZIO",55,0,2813025504594
SAGAN,BONJOUR TRISTESSE,REV 09,POCKET,0,FR 0021;FR 0021;FR 0021;FR 0021,A;B;C;D,"HEITZMAN,BRENNA K.;PAULING,DAVID F;GILLETTE,MARIE;THOMAS,VIOLA GERTRUD",16;16;16;16,0;0;0;0,9782266195584
SALEHI,EBK FUNDAMENTALS OF COMMUNICATION SYSTE,2,AC YUZU,MICROSOFT,EE 0107,01,"AULL,BRIAN",45,0,2813025596469
SALEHI,EBK FUNDAMENTALS OF COMMUNICATION SYSTE,2,AC YUZU,MICROSOFT,EE 0107,01,"AULL,BRIAN",45,0,2813024109028
SANGHAVI,MAP OF THE CHILD,03,MAC HIGHER,OWL BOOKS,CSHD 0100,01,"MODRY-MANDELL,KERRI",10,0,9780805075113
SCHAEFER,EBK ECONOMICS OF STRATEGY,7,AC YUZU,WILEY,EC 0175,01,"FORBES,SILKE",25,0,2813024200893
SCHAEFER,EBK ECONOMICS OF STRATEGY,7,AC YUZU,WILEY,EC 0175,01,"FORBES,SILKE",25,0,2813036643367
SENDER,REQUIEM POR UN CAMPESINO ESPANOL,REV 10,DESTINO,0,SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021,A;B;C;D;E;F;G;H;J,"DE LAIRE MULGREW,ANN;DAVIS,MARIA-CONCEPCI;CANTU,ANNE;DAVIS,MARIA-CONCEPCI;CANTU,ANNE;MARCELIN,TERESA;CANTU,ANNE;MARCELIN,TERESA;LANZAS,EUGENIO",16;16;16;18;16;16;16;16;16,0;0;0;0;0;0;0;0;0,9788423342396
SHANKMAN,EMOTIONALLY INTELLIGENT...:GDE.F/STUD.,2ND 15,WILEY,JOSSEY,EM 0054;EM 0054,CE;01,"SAWYER,ANNETTE;SAWYER,ANNETTE",20;20,0;0,9781118821787
SHAPIRO,LINEAR ALGEBRA AND MATRICES,1ST 15,AMS PR,0,MATH 0190,01,"MCNINCH,GEORGE",30,0,9781470418526
SHER,LATIN REAL BOOK-B-FLAT EDITION,99,SHER MUSIC,SHER MUSIC,MUS 0105,01,"SMITH,JOEL LARUE",12,0,9781883217365
SHER,"LATIN REAL BOOK,E-FLAT EDITION",99,SHER MUSIC,SHER MUSIC,MUS 0105,01,"SMITH,JOEL LARUE",12,0,9780634006937
SHI,EBK ESSENTIALS OF THE U.S. HEALTH CARE,4,AC YUZU,JONES & BA,SHI,EBK ESSENTIALS OF THE U.S. HEALTH CARE,4,AC YUZU,JONES & BA,2813022778097
SILVERSTEIN,SPECTROMETRIC IDEN.OF ORG.COMPOUNDS,8TH 15,WILEY,WILEY,CHEM 0155,01,"STOLOW,ROBERT D",30,0,9780470616376
SINGLETON,URBAN ANALYTICS,18,SAGE,SAGE,CEE 0193;UEP 0293,01;06,"JIANG,SHAN;JIANG,SHAN",24;24,0;0,9781473958630
SKOOG,PRIN.OF INSTRUMENTAL ANALYSIS,7TH 18,CENGAGE L,CENGAGE L,CHEM 0141,01,"ROBBAT JR,ALBERT",30,0,9781305577213
SNYDER,EBK MICROECONOMIC THEORY: BASIC PRINCIP,12,AC YUZU,CENGAGE LE,EC 0016,01,"KUTSOATI,EDWARD",36,0,2813028246255
SNYDER,EBK MICROECONOMIC THEORY: BASIC PRINCIP,12,AC YUZU,CENGAGE LE,EC 0016,01,"KUTSOATI,EDWARD",36,0,2813029100457
SOLOMON,EBK NUMERICAL ALGORITHMS,1,AC YUZU,ROUTLEDGE,MATH 0225,01,"HU,XIAOZHE",34,0,2813024962616
SOLOMON,EBK NUMERICAL ALGORITHMS,1,AC YUZU,ROUTLEDGE,MATH 0225,01,"HU,XIAOZHE",34,0,2813025911071
SOLOMON,NUMERICAL ALGORITHMS-W/ACCESS,15,TAYLOR,CRC PR,MATH 0225,01,"HU,XIAOZHE",34,0,9781482251883
SOMMERS,EBK RULES FOR WRITERS,9,AC YUZU,BEDFORD/ST,ENG 0001;ENG 0001;ENG 0001;ENG 0001,12;20;39;47,"CRANO,RICKY D.;CRANO,RICKY D.;CLEMENTS,CHARLES A.;CALLOWAY,GRAEME L.",15;15;12;12,0;0;0;0,2813035964142
SOSA,EPISTEMOLOGY:ANTHOLOGY,2ND 08,WILEY,0,PHIL 0131,01,"AZZOUNI,JODY",30,0,9781405169660
SOTO,SPIKS,LATEST,MEP/SCHOEN,0,SPN 0022,XA,"LEVY-KONESKY,NANCY",16,0,9781567580693
SPIEGEL,EBK SCHAUM'S OUTLINE OF PROBABILITY AND,4,AC YUZU,MCGRAW-HIL,EC 0201,01,"STOREYGARD,ADAM",38,0,2813022261360
STEIN,EBK INTRODUCTION TO ALGORITHMS,3,AC YUZU,THE MIT PR,COMP 0160;COMP 0160,01;02,"KORMAN,MATIAS;KORMAN,MATIAS",80;80,0;0,2813027002609
STEINBERG,ADOLESCENCE,12TH 20,RENT MCG,0,CSHD 0068,01,"LEVENTHAL,TAMA",20,0,9781260058895
STEINBERG,EBK ADOLESCENCE,12,AC YUZU,MCGRAW-HIL,CSHD 0068,01,"LEVENTHAL,TAMA",20,0,2813036669350
STEINBERG,EBK ADOLESCENCE,12,AC YUZU,MCGRAW-HIL,CSHD 0068,01,"LEVENTHAL,TAMA",20,0,2813036621297
STELZER,FLIPIT FOR UNIVERSITY PHYSICS-ACCESS,16,MAC HIGHER,FREEMAN,PHY 0001;PHY 0001;PHY 0011;PHY 0011,01;02;01;02,"DINI,VESAL;DINI,VESAL;GALLAGHER,HUGH M;GALLAGHER,HUGH M",120;120;120;120,0;0;0;0,9781319066529
STILLMAN,EBK THE ULTIMATE SPANISH REVIEW AND PRA,3,AC YUZU,MCGRAW-HIL,SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0022;SPN 0022;SPN 0022;SPN 0022;SPN 0022;SPN 0022;SPN 0022,A;B;C;D;E;F;G;H;J;A;B;C;D;E;XA;XC,"DE LAIRE MULGREW,ANN;DAVIS,MARIA-CONCEPCI;CANTU,ANNE;DAVIS,MARIA-CONCEPCI;CANTU,ANNE;MARCELIN,TERESA;CANTU,ANNE;MARCELIN,TERESA;LANZAS,EUGENIO;MARCELIN,TERESA;MILLAY,AMY;RINCON CALERO,MARIA;RINCON CALERO,MARIA;SIMPSON,DANA;LEVY-KONESKY,NANCY;SMITH,PATRICIA",16;16;16;18;16;16;16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2813022271727
STOCK,INTRO.TO ECONOMETRICS-TEXT,4TH 19,PEARSON,0,EC 0015;EC 0015;EC 0015;EC 0015,01;02;03;04,"MCGUIRK, EOIN;MCINERNEY,MELISSA;MCINERNEY,MELISSA;MCGUIRK, EOIN",17;17;17;17,0;0;0;0,9780134461991
STRACHEY,EMINENT VICTORIANS,86,PENG RAND,0,ENG 0135,01,"LURZ,JOHN",25,0,9780140183504
STROGATZ,EBK NONLINEAR DYNAMICS AND CHAOS,2,AC YUZU,CRC PRESS,MATH 0153,01,"KIM,KI YEUN",34,0,2813031670375
STROGATZ,EBK NONLINEAR DYNAMICS AND CHAOS,2,AC YUZU,CRC PRESS,MATH 0153,01,"KIM,KI YEUN",34,0,2813031809553
STROGATZ,NONLINEAR DYNAMICS+CHAOS,2ND 15,TAYLOR,PERSEUS PR,MATH 0153,01,"KIM,KI YEUN",34,0,9780813349107
SUCCOP,EBK QUALITATIVE METHODS IN PUBLIC HEALT,2,AC YUZU,CLIFFS NOT,CH 0102,01,"TENDULKAR,SHALINI",30,0,2813028964890
TAMAARAI SALAI,THE GREAT WAR AND THE REMAKING OF PALE,LATEST,INGRAM,INGRAM,DHP H261;HIST 0209,01;01,"FAWAZ,LEILA;FAWAZ,LEILA",0;10,0;0,9780520291263
TAMARI,EBK THE GREAT WAR AND THE REMAKING OF P,1,AC YUZU,UNIVERSITY,DHP H261;HIST 0209,01;01,"FAWAZ,LEILA;FAWAZ,LEILA",0;10,0;0,2813030740086
TANENBAUM,COMPUTER NETWORKS,5TH 11,PEARSON,PH,EE 0129,01,"CHANG,CHORNG HWA",40,0,9780132126953
TESSLER,EBK A HISTORY OF THE ISRAELI-PALESTINIA,2,AC YUZU,INDIANA UN,DHP D263,01,"FAWAZ,LEILA",0,0,2813027546288
THIONG'O,"WEEP NOT,CHILD",12,PENG RAND,PENG USA,AFR 0014;HIST 0014,01;01,"CONZ,CHRISTOPHER;CONZ,CHRISTOPHER",40;40,0;0,9780143106692
THOMAS,DOWN THESE MEAN STREETS-30TH ANNIV.ED.,67,PENG RAND,0,SPN 0022,XA,"LEVY-KONESKY,NANCY",16,0,9780679781424
THOMAS,FLASH FICTION:72 VERY SHORT STORIES,92,NORTON,NORTON,ENG 0058,01,"BAMBER,LINDA V",20,0,9780393308839
TOMASKOVIC-DEV,RELATIONAL INEQUALITIES: AN ORGANIZATI,18,OXF,OXF,AAST 0194;AFR 0147;AMER 0194;LAS 0191;LST 0194;SOC 0188,04;08;06;04;04;12,"DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE",0;0;0;0;0;15,0;0;0;0;0;0,9780190624439
TOOMER,CANE,23,NORTON,LIVERIGHT,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,9780871402103
TOOMER,EBK CANE (NEW EDITION),0,AC YUZU,W. W. NORT,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,2813026212344
ULLMAN,MECHANICAL DESIGN PROCESS,17,INGRAM,0,ME 0043,02,"WENDELL,KRISTEN BETH",23,0,9780999357804
UNIV RDRS,EL ULTIMO SOL,W17,UNIV RDRS,0,SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003,A;B;C;D;E;F;G;H;J;K;L;M;N;O,"GONZALEZ PEDEMONTE,N;AKERS,JOANA;CASTRO,MARIA ISABEL;GONZALEZ PEDEMONTE,N;GONZALEZ PEDEMONTE,N;AKERS,JOANA;MALINOWSKA,MAGDALENA;CASTRO,MARIA ISABEL;CASTRO,MARIA ISABEL;FERNANDEZ-GARCIA,MAR;MEDEROS,RAYSA;STAFF;MEDEROS,RAYSA;STAFF",16;16;16;16;16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0;0;0;0;0,2818740185684
UNIV READERS,LA MULTITUD ERRANTE 14968,>C<,F17,UNIV RDRS,SPN 0022;SPN 0022;SPN 0022;SPN 0022;SPN 0022,A;B;C;D;E,"MARCELIN,TERESA;MILLAY,AMY;RINCON CALERO,MARIA;RINCON CALERO,MARIA;SIMPSON,DANA",16;16;16;16;16,0;0;0;0;0,2818740189828
UNIV READERS,SPN 0022 COURSE PACKET,>C<,F17,UNIV RDRS,SPN 0022;SPN 0022;SPN 0022;SPN 0022;SPN 0022,A;B;C;D;E,"MARCELIN,TERESA;MILLAY,AMY;RINCON CALERO,MARIA;RINCON CALERO,MARIA;SIMPSON,DANA",16;16;16;16;16,0;0;0;0;0,2818740189798
UNKNOWN,EBK CHEMISTRY,14,AC YUZU,MICROSOFT,CHEM 0001;CHEM 0001;CHEM 0002;CHEM 0002,01;02;01;02,"KRYATOV,SERGIY;KRYATOV,SERGIY;CAMPBELL,VICTORIA L;DAVIS,LUKE M",200;200;200;150,0;0;0;0,2813029008975
UNKNOWN,EBK CHEMISTRY,14,AC YUZU,MICROSOFT,CHEM 0001;CHEM 0001;CHEM 0002;CHEM 0002,01;02;01;02,"KRYATOV,SERGIY;KRYATOV,SERGIY;CAMPBELL,VICTORIA L;DAVIS,LUKE M",200;200;200;150,0;0;0;0,2813029123265
UNKNOWN,EBK PREPARING EDUCATORS TO ENGAGE FAMIL,3,AC YUZU,SAGE PUBLI,CSHD 0165;CVS 0132;ED 0145,01;01;01,"MCWAYNE,CHRISTINE;MCWAYNE,CHRISTINE;MCWAYNE,CHRISTINE",20;0;20,0;0;0,2813026376879
UNKNOWN,EBK PREPARING EDUCATORS TO ENGAGE FAMIL,3,AC YUZU,SAGE PUBLI,CSHD 0165;CVS 0132;ED 0145,01;01;01,"MCWAYNE,CHRISTINE;MCWAYNE,CHRISTINE;MCWAYNE,CHRISTINE",20;0;20,0;0;0,2813025495069
UNKNOWN,EBK RACE AND RACISMS,2,AC YUZU,OXFORD UNI,AAST 0094;AFR 0011;LST 0094;SOC 0011,03;01;03;01,"GORDON,DAANIKA;GORDON,DAANIKA;GORDON,DAANIKA;GORDON,DAANIKA",0;40;0;40,0;0;0;0,2813032951053
UNKNOWN,EBK THE FUNDAMENTALS OF ETHICS,4,AC YUZU,OXFORD UNI,CVS 0014;CVS 0014;PHIL 0024;PHIL 0024,01;02;01;02,"DENBY,DAVID;LINK,MONICA WONG;DENBY,DAVID A;LINK,MONICA WONG",0;0;50;50,0;0;0;0,2813030114832
VANDERVEER,IMPERIAL ENCOUNTERS,01,INGRAM PUB,PUP,CST 0194;REL 0149,04;01,"HATCHER,BRIAN A.;HATCHER,BRIAN A.",0;15,0;0,9780691074788
VAVRECK,EBK THE LOGIC OF AMERICAN POLITICS,9,AC YUZU,0,AMER 0048;PS 0011,01;01,"SCHAFFNER,BRIAN;SCHAFFNER,BRIAN",75;75,0;0,2813036932119
VAVRECK,EBK THE LOGIC OF AMERICAN POLITICS,9,AC YUZU,0,AMER 0048;PS 0011,01;01,"SCHAFFNER,BRIAN;SCHAFFNER,BRIAN",75;75,0;0,2813036966244
VIALET,EBK BRAVO!,8,AC YUZU,CENGAGE LE,FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0003;FR 0004;FR 0004;FR 0004;FR 0004,A;B;C;D;E;F;A;B;C;D,"MILLER,KERRI LEE CON;KELLY,NANCY;MILLER,KERRI LEE CON;HEITZMAN,BRENNA K.;KELLY,NANCY;HEITZMAN,BRENNA K.;PAULING,DAVID F;PAULING,DAVID F;TAIEB,ANNE;THOMAS,VIOLA GERTRUD",16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0,2813024646318
VIRGIL,AENEID,(REV)83,PENG RAND,VINTAGE,ENG 0108,01,"FYLER,JOHN M",25,0,9780679729525
VOET,EBK BIOCHEMISTRY,4,AC YUZU,WILEY,BIO 0172;CHEM 0172,01;01,"PAMUK TURNER,DIREN;PAMUK TURNER,DIREN",70;70,0;0,2813024158668
VOET,EBK BIOCHEMISTRY,4,AC YUZU,WILEY,BIO 0172;CHEM 0172,01;01,"PAMUK TURNER,DIREN;PAMUK TURNER,DIREN",70;70,0;0,2813036638349
VOLTAIRE,CANDIDE,07,L LAROUSSE,L LAROUSSE,FR 0031,D,"HAKIM,ZEINA",18,0,9782035866011
VOLTAIRE,CANDIDE OU L'OPTIMISME,LATEST,MISC PUBS,0,FR 0031,C,"NAGINSKI,ISABELLE H",18,0,9782047355091
WADE,INVITATION TO PSYCHOLOGY-REVEL ACCESS,7TH 18,PEARSON,PEARSON,PSY 0001;PSY 0001,01;02,"SHIN,LISA;SHIN,LISA",250;250,0;0,9780134635880
WARREN,FINANCIAL ACCOUNTING (LL)-W/CENGAGENOW,15TH 18,CENGAGE L,CENGAGE L,EC 0003,01,"MCHUGH,CHRISTOPHER",80,0,9781337587501
WATKINS,EBK CASARETT & DOULL'S ESSENTIALS OF TO,3,AC YUZU,MCGRAW-HIL,CEE 0157;ENV 0167,01;01,"DESMARAIS,ANNE MARIE;DESMARAIS,ANNE MARIE",35;35,0;0,2813022271659
WATSON,EBK INTRODUCTION TO ECONOMETRICS,4,AC YUZU,MICROSOFT,EC 0015;EC 0015;EC 0015;EC 0015,01;02;03;04,"MCGUIRK, EOIN;MCINERNEY,MELISSA;MCINERNEY,MELISSA;MCGUIRK, EOIN",17;17;17;17,0;0;0;0,2813035696975
WATSON,EBK INTRODUCTION TO ECONOMETRICS,4,AC YUZU,MICROSOFT,EC 0015;EC 0015;EC 0015;EC 0015,01;02;03;04,"MCGUIRK, EOIN;MCINERNEY,MELISSA;MCINERNEY,MELISSA;MCGUIRK, EOIN",17;17;17;17,0;0;0;0,2813035964784
WEI,EBK A KALEIDOSCOPE OF CHINA,0,AC YUZU,PRINCETON,CHNS 0121;CHNS 0121,A;B,"WAN,MIN;FENG,JIANPING",15;15,0;0,2813026280183
WEI,EBK A KALEIDOSCOPE OF CHINA,0,AC YUZU,PRINCETON,CHNS 0121;CHNS 0121,A;B,"WAN,MIN;FENG,JIANPING",15;15,0;0,2813030734078
WELLS,EBK HANDBUCH ZUR DEUTSCHEN GRAMMATIK,6,AC YUZU,CENGAGE LE,GER 0021;GER 0121,B;01,"STOESSEL-DESCHNER,SA;STOESSEL-DESCHNER,SA",12;15,0;0,2813026263728
WELLS,EBK HANDBUCH ZUR DEUTSCHEN GRAMMATIK,6,AC YUZU,CENGAGE LE,GER 0021;GER 0121,B;01,"STOESSEL-DESCHNER,SA;STOESSEL-DESCHNER,SA",12;15,0;0,2813025479984
WEST,EBK MISS LONELYHEARTS & THE DAY OF THE,0,AC YUZU,W. W. NORT,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,2813026186966
WETHERALL,EBK COMPUTER NETWORKS,5,AC YUZU,MICROSOFT,EE 0129,01,"CHANG,CHORNG HWA",40,0,2813024104801
WETHERALL,EBK COMPUTER NETWORKS,5,AC YUZU,MICROSOFT,EE 0129,01,"CHANG,CHORNG HWA",40,0,2813025506352
WHARTON,HOUSE OF MIRTH,64,PENG RAND,SIGNET,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,9780451527561
WHEATLEY,EBK THE ROUTLEDGE ADVANCED CHINESE MULT,2,AC YUZU,ROUTLEDGE,CHNS 0123,01,"WANG,SHAOMEI",14,0,2813024771935
WHEATLEY,EBK THE ROUTLEDGE ADVANCED CHINESE MULT,2,AC YUZU,ROUTLEDGE,CHNS 0123,01,"WANG,SHAOMEI",14,0,2813025578441
WHITE,CREATIVE RECORDING II:MICROPHONES,2ND 04,SANCTUARY,SANCTUARY,ES 0065;MUS 0140,01;01,"LEHRMAN,PAUL DAVID;LEHRMAN,PAUL DAVID",10;5,0;0,9781844920020
WHITLOCK,EBK THE ANALYSIS OF BIOLOGICAL DATA,2,AC YUZU,BEDFORD/ST,BIO 0132,01,"LEWIS,SARA M.",45,0,2813031425548
WILLIAMSON,EBK MACROSCALE AND MICROSCALE ORGANIC E,7,AC YUZU,CENGAGE LE,CHEM 0053,01,"STOLOW,ROBERT D",250,0,2813025995996
WILLIAMSON,EBK MACROSCALE AND MICROSCALE ORGANIC E,7,AC YUZU,CENGAGE LE,CHEM 0053,01,"STOLOW,ROBERT D",250,0,2813027076754
WILMSHURST,EBK CHILD AND ADOLESCENT PSYCHOPATHOLOG,4,AC YUZU,SAGE PUBLI,CSHD 0191,01,"MODRY-MANDELL,KERRI",30,0,2813031709945
WILMSHURST,EBK CHILD AND ADOLESCENT PSYCHOPATHOLOG,4,AC YUZU,SAGE PUBLI,CSHD 0191,01,"MODRY-MANDELL,KERRI",30,0,2813031715793
WINER,AUDIO EXPERT:EVERYTHING YOU NEED...,2ND 18,TAYLOR,ROUTLEDGE,ES 0065;MUS 0140,01;01,"LEHRMAN,PAUL DAVID;LEHRMAN,PAUL DAVID",10;5,0;0,9780415788847
WINER,EBK THE AUDIO EXPERT,2,AC YUZU,ROUTLEDGE,ES 0065;MUS 0140,01;01,"LEHRMAN,PAUL DAVID;LEHRMAN,PAUL DAVID",10;5,0;0,2813031321659
WINER,EBK THE AUDIO EXPERT,2,AC YUZU,ROUTLEDGE,ES 0065;MUS 0140,01;01,"LEHRMAN,PAUL DAVID;LEHRMAN,PAUL DAVID",10;5,0;0,2813031333621
WOODWARD,EBK HELL IN THE HOLY LAND,0,AC YUZU,THE UNIVER,DHP H261;HIST 0209,01;01,"FAWAZ,LEILA;FAWAZ,LEILA",0;10,0;0,2813022619420
WOOLDRIDGE,EBK INTRODUCTORY ECONOMETRICS: A MODERN,7,AC YUZU,CENGAGE LE,EC 0107;EC 0107,01;02,"BIANCONI,MARCELO;FORBES,SILKE",20;20,0;0,2813035997683
WOOLDRIDGE,EBK INTRODUCTORY ECONOMETRICS: A MODERN,7,AC YUZU,CENGAGE LE,EC 0107;EC 0107,01;02,"BIANCONI,MARCELO;FORBES,SILKE",20;20,0;0,2813035982740
WOOLF,EBK A ROOM OF ONE'S OWN,0,AC YUZU,MARINER BO,ENG 0135,01,"LURZ,JOHN",25,0,2813027286573
WOOLF,EBK BETWEEN THE ACTS,0,AC YUZU,MARINER BO,ENG 0135,01,"LURZ,JOHN",25,0,2813028342384
WOOLF,EBK MRS. DALLOWAY,0,AC YUZU,MARINER BO,ENG 0135,01,"LURZ,JOHN",25,0,2813027286672
WOOLF,EBK ORLANDO,0,AC YUZU,MARINER BO,ENG 0135,01,"LURZ,JOHN",25,0,2813027285804
WOOLF,EBK THE WAVES,0,AC YUZU,MARINER BO,ENG 0135,01,"LURZ,JOHN",25,0,2813028343329
WOOLF,EBK TO THE LIGHTHOUSE (ANNOTATED),0,AC YUZU,MARINER BO,ENG 0135,01,"LURZ,JOHN",25,0,2813027505568
WOOLF,JACOB'S ROOM (9536589),92,OXF,0,ENG 0135,01,"LURZ,JOHN",25,0,9780199536580
WOOLF,MRS.DALLOWAY,81,HBC TRADE,0,ENG 0135,01,"LURZ,JOHN",25,0,9780156628709
WOOLF,TO THE LIGHTHOUSE,27,HM,0,ENG 0135,01,"LURZ,JOHN",25,0,9780156907392
WOOLF,WAVES,59,HBC TRADE,0,ENG 0135,01,"LURZ,JOHN",25,0,9780156949606
ZANGWILL,MODERN ELECTRODYNAMICS,12,CAMB,CAMB,PHY 0145,01,"BEAUCHEMIN,PIERRE-HU",20,0,9780521896979
ZILBERMAN,"UP-TO-DATE ENG.-HEBREW,HEBREW-ENG.DICT.",(REV)09,GEFEN BOOK,ZILBERMAN,HEB 0001;HEB 0001;HEB 0003,A;B;A,"KIMELMAN,HAVA;KIMELMAN,HAVA;HARARI-SPENCER,HEDDA",15;15;15,0;0;0,9789652228628
ZIMMERMAN,EBK PROBABILITY AND STATISTICAL INFEREN,10,AC YUZU,MICROSOFT,EC 0201,01,"STOREYGARD,ADAM",38,0,2813036647754
ZIMMERMAN,EBK PROBABILITY AND STATISTICAL INFEREN,10,AC YUZU,MICROSOFT,EC 0201,01,"STOREYGARD,ADAM",38,0,2813036623192
ZOLA,NANA,02,GALLIMARD,0,FR 0163,A,"NAGINSKI,ISABELLE H",20,0,9782070423576
133602,UVEX SAFETY GOGGLES,XX SUPPLY,0,0,CHEM 0001;CHEM 0001;CHEM 0002;CHEM 0002;CHEM 0053,01;02;01;02;01,"KRYATOV,SERGIY;KRYATOV,SERGIY;CAMPBELL,VICTORIA L;DAVIS,LUKE M;STOLOW,ROBERT D",200;200;200;150;250,0;0;0;0;0,2818740150774
