Author,Title,Edition,Publisher,Imprint,Course,Section,Professor,Course Capacity,Actual Enrollment,ISBN
LAURISON,CLASS CEILING: WHY IT PAYS TO BE,2018,UCP,0,AAST 0194;AFR 0147;AMER 0194;LAS 0191;LST 0194;SOC 0188,04;08;06;04;04;12,"DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE;DIAS,FELIPE",0;0;0;0;0;15,0;0;0;0;0;0,9781447336068
LAY,EBK LINEAR ALGEBRA AND ITS APPLICATIONS,4,AC YUZU,MICROSOFT,MATH 0070;MATH 0070;MATH 0070;MATH 0070,01;02;03;04,"KIM,KI YEUN;QUINTO,ERIC TODD;LEMKE-OLIVER,ROBERT;LEMKE-OLIVER,ROBERT",40;40;40;40,0;0;0;0,2813024152253
LAY,EBK LINEAR ALGEBRA AND ITS APPLICATIONS,4,AC YUZU,MICROSOFT,MATH 0070;MATH 0070;MATH 0070;MATH 0070,01;02;03;04,"KIM,KI YEUN;QUINTO,ERIC TODD;LEMKE-OLIVER,ROBERT;LEMKE-OLIVER,ROBERT",40;40;40;40,0;0;0;0,2813025508691
LAYZER,OPEN FOR BUSINESS,12,TRILITERAL,MIT PR,ENV 0135,01,"STEIN,NINIAN",32,0,9780262526029
LEE,ROUTLEDGE ADV.CHINESE MULTI...-W/2 CDS,2ND 14,TAYLOR,ROUTLEDGE,CHNS 0123,01,"WANG,SHAOMEI",14,0,9780415841337
LEEDS,EBK THE ECONOMICS OF SPORTS,6,AC YUZU,ROUTLEDGE,EC 0148,01,"DOWNES,THOMAS",20,0,2813032012792
LEEDS,EBK THE ECONOMICS OF SPORTS,6,AC YUZU,ROUTLEDGE,EC 0148,01,"DOWNES,THOMAS",20,0,2813032080869
LEEDS,ECONOMICS OF SPORTS,6TH 18,TAYLOR,ROUTLEDGE,EC 0148,01,"DOWNES,THOMAS",20,0,9781138052161
LEMAY,WOMEN'S SECRETS,92,SUNY PRESS,0,HIST 0155;WGSS 0185,80;07,"RANKIN,ALISHA;RANKIN,ALISHA",20;20,0;0,9780791411445
LENCIONI,EBK THE FIVE DYSFUNCTIONS OF A TEAM: A,1,AC YUZU,CLIFFS NOT,EM 0054;EM 0054,CE;01,"SAWYER,ANNETTE;SAWYER,ANNETTE",20;20,0;0,2813024157487
LERNER,AVERROES ON PLATO'S REPUBLIC,05,LONGLEAF,CORNELL,PS 0158,01,"MUFTI,MALIK",20,0,9780801489754
LERNER,CONCEPTS+THEORIES OF HUMAN DEVEL.(PB),3RD 14,TAYLOR,TAYLOR,CSHD 0248,01,"LERNER,RICHARD M.",20,0,9781138012455
LI,EBK THE PSYCHOLINGUISTICS OF BILINGUALI,1,AC YUZU,WILEY-BLAC,PSY 0152,01,"DE RUITER,LAURA",20,0,2813031494339
