Course Code,Course Name,Course Instructor,Parsed Course Name
2198-84424,Fa19-DHP-101036-01-Islam and the West,"Jalal, Ayesha",Islam and the West
2198-84425,Fa19-DHP-142542-01-Civil Wars: Theory and Policy,"Toft, Monica",Civil Wars: Theory and Policy
2198-84426,Fa19-DHP-139038-01-Islam & Politics,"Warde, Ibrahim",Islam & Politics
2198-84427,Fa19-DHP-102527-01-Dem.& Reform: Latin America,"Burgess, Katrina",Dem.& Reform: Latin America
2198-84428,Fa19-DHP-140377-01-Engaging Human Security,"Theidon, Kimberly",Engaging Human Security
2198-84429,Fa19-DHP-102731-01-Conflict In Africa,"DeWaal, Alex",Conflict In Africa
2198-84430,Fa19-EIB-117347-01-Data Analys & Statistical Meth,"Nakosteen, Robert",Data Analys & Statistical Meth
2198-84431,Fa19-EIB-117529-01-Financial Statement Mgmt.,"Weiss, Lawrence",Financial Statement Mgmt.
2198-84432,Fa19-EIB-117748-01-Starting New Ventures,"Bhide, Amarnath",Starting New Ventures
2198-84433,Fa19-EIB-142518-01-Work and Employment Relations,"Knudsen, Jette",Work and Employment Relations
2198-84434,Fa19-EIB-138880-01-Market Approach to Development,"Wilson, Kimberley",Market Approach to Development
2198-84435,Fa19-EIB-143459-01-Financial Inclusion,"Wilson, Kimberley",Financial Inclusion
2198-84436,Fa19-EIB-143460-01-Resrch Dsgn Action Infrml Econ,"Wilson, Kimberley",Resrch Dsgn Action Infrml Econ
2198-84437,"Fa19-EIB-140892-01-Leadership:  Teams, Orgs","Ebrahim, Alnoor","Leadership:  Teams, Orgs"
2198-84438,Fa19-EIB-110762-01-Econometric Impact Evaluation,"Aker, Jenny",Econometric Impact Evaluation
2198-84439,Fa19-EIB-110224-01-International Finance,"Klein, Michael",International Finance
2198-84440,Fa19-EIB-119358-01-Mktg Research and Analysis,"Simonin, Bernard",Mktg Research and Analysis
2198-84441,Fa19-EIB-119407-01-Strat Marketing For NPOs,"Simonin, Bernard",Strat Marketing For NPOs
2198-84442,Fa19-EIB-119631-01-Managing Ops Supply Chains,"Hout, Thomas",Managing Ops Supply Chains
2198-84443,Fa19-EIB-109551-01-Petroleum In Global Economy,"Everett, Bruce",Petroleum In Global Economy
2198-84444,Fa19-EIB-109665-01-Intro to Economic Theory,"Kowalczyk, Carsten",Intro to Economic Theory
2198-84445,Fa19-EM-142824-01-Experience Design,"Plotkin, Rebekah; Reich, Debra",Experience Design
2198-84446,Fa19-EIB-109948-01-Econometrics,"Schaffner, Julie",Econometrics
