Course Code,Course Name,Course Instructor,Parsed Course Name
2198-80001,Fa19-ARB-102132-01-Special Topics,"Shraytekh, Alexandra",Special Topics
2198-80002,Fa19-ARB-102461-01-Advanced Mod Std Arabic,,Advanced Mod Std Arabic
2198-80003,Fa19-ARB-101206-A-Elem Mod Standard Arabic,,Elem Mod Standard Arabic
2198-80004,Fa19-ARB-101206-B-Elem Mod Standard Arabic,"Abdul-Aziz, Rana",Elem Mod Standard Arabic
2198-80005,Fa19-ARB-101206-C-Elem Mod Standard Arabic,"Abdul-Aziz, Rana",Elem Mod Standard Arabic
2198-80006,Fa19-ARB-101206-D-Elem Mod Standard Arabic,"Jajji, Fadi",Elem Mod Standard Arabic
2198-80007,Fa19-ARB-101470-A-Intermed Std Arabic,"Jajji, Fadi",Intermed Std Arabic
2198-80008,Fa19-ARB-101470-B-Intermed Std Arabic,"Abdul-Aziz, Rana",Intermed Std Arabic
2198-80009,Fa19-ARB-101470-C-Intermed Std Arabic,"Jajji, Fadi",Intermed Std Arabic
2198-80011,"Fa19-ARB-101591-A-Arabic Reading,Comp,Conv",,"Arabic Reading,Comp,Conv"
2198-80013,Fa19-ARB-101206-E-Elem Mod Standard Arabic,"Abdul-Aziz, Rana",Elem Mod Standard Arabic
2198-80015,Fa19-ARB-141758-01-Arb Mus Ens-Tufts Takht,"Al-Rubaye, Layth",Arb Mus Ens-Tufts Takht
2198-80016,Fa19-CHNS-106568-01-Intensive Elem Chinese,"Wang, Mingquan",Intensive Elem Chinese
2198-80017,Fa19-CHNS-105543-A-Elementary Chinese,"Feng, Jianping",Elementary Chinese
2198-80018,Fa19-CHNS-105543-B-Elementary Chinese,"Feng, Jianping",Elementary Chinese
2198-80019,Fa19-CHNS-105543-C-Elementary Chinese,"Li, Huimin",Elementary Chinese
2198-80020,Fa19-CHNS-105543-D-Elementary Chinese,"Li, Huimin",Elementary Chinese
2198-80021,Fa19-CHNS-105745-A-Intermediate Chinese,"Wang, Shaomei",Intermediate Chinese
2198-80022,Fa19-CHNS-105745-B-Intermediate Chinese,"Wang, Shaomei",Intermediate Chinese
2198-80023,Fa19-CHNS-105745-C-Intermediate Chinese,"Wan, Min",Intermediate Chinese
2198-80024,Fa19-CHNS-105804-A-Reading & Conversation,"Li, Jinyu",Reading & Conversation
2198-80025,Fa19-CHNS-105804-B-Reading & Conversation,"Li, Jinyu",Reading & Conversation
2198-80026,Fa19-CHNS-105804-C-Reading & Conversation,"Li, Huimin",Reading & Conversation
2198-80027,Fa19-CHNS-105890-01-Classical Chinese Lit,"Qian, Tony",Classical Chinese Lit
2198-80029,Fa19-CHNS-106359-01-Special Topics,"Zhong, Xueping",Special Topics
2198-80030,Fa19-CHNS-107127-A-Advanced Chinese I,"Wan, Min",Advanced Chinese I
2198-80031,Fa19-CHNS-107127-B-Advanced Chinese I,"Feng, Jianping",Advanced Chinese I
2198-80032,Fa19-CHNS-107340-01-Advan Read Chns Culture,"Wang, Shaomei",Advan Read Chns Culture
2198-80033,Fa19-CHNS-107700-01-Reading Short Stories,"Li, Jinyu",Reading Short Stories
2198-80034,Fa19-CHNS-105745-D-Intermediate Chinese,"Wan, Min",Intermediate Chinese
2198-80035,Fa19-GER-127684-A-Elementary German I,"Pfaffinger, Doris",Elementary German I
2198-80036,Fa19-GER-127684-B-Elementary German I,"Schumann, Christine",Elementary German I
2198-80037,Fa19-GER-127684-C-Elementary German I,"Schumann, Christine",Elementary German I
2198-80038,Fa19-GER-127684-D-Elementary German I,"Grimm, Geraldine",Elementary German I
2198-80039,Fa19-GER-127958-A-Intermediate German I,"Schumann, Christine",Intermediate German I
2198-80040,Fa19-GER-127958-B-Intermediate German I,"Pfaffinger, Doris",Intermediate German I
2198-80041,Fa19-GER-127958-C-Intermediate German I,"Grimm, Geraldine",Intermediate German I
2198-80042,Fa19-GER-128358-A-Composition and Conversation I,"Pfaffinger, Doris",Composition and Conversation I
2198-80043,Fa19-GER-128358-B-Composition and Conversation I,"Stoessel-Deschner, Saskia",Composition and Conversation I
2198-80044,Fa19-GER-128817-01-Reading German Culture,"Wilczek, Markus",Reading German Culture
2198-80045,Fa19-GER-129133-01-Grimms' Fairy Tales,,Grimms' Fairy Tales
2198-80048,Fa19-GER-119639-01-Teaching Internship,,Teaching Internship
2198-80049,Fa19-GER-119794-01-Ling Appr/2nd Lang Acq,"Stoessel-Deschner, Saskia",Ling Appr/2nd Lang Acq
2198-80050,Fa19-GER-119828-01-Advanced German,"Stoessel-Deschner, Saskia",Advanced German
2198-80051,Fa19-GER-120638-01-Grimms' Fairy Tales,,Grimms' Fairy Tales
2198-80054,Fa19-GER-123172-01-Teaching Internship,"Stoessel-Deschner, Saskia",Teaching Internship
2198-80055,Fa19-GER-123249-01-Senior Honors Thesis A,,Senior Honors Thesis A
2198-80056,Fa19-GER-123350-01-Grad Colloquium,"Wilczek, Markus",Grad Colloquium
2198-80057,Fa19-GER-124662-01-Masters Degree Cont.,"Wilczek, Markus",Masters Degree Cont.
2198-80058,Fa19-GER-124687-01-Masters Degree Cont.,"Wilczek, Markus",Masters Degree Cont.
2198-80059,Fa19-HEB-126189-A-Elementary Hebrew,"Kimelman, Hava",Elementary Hebrew
2198-80060,Fa19-HEB-126189-B-Elementary Hebrew,"Kimelman, Hava",Elementary Hebrew
2198-80061,Fa19-HEB-126230-A-Intermediate Hebrew,"Harari-Spencer, Hedda",Intermediate Hebrew
2198-80062,Fa19-HEB-126296-01-Conversation/composition,"Harari-Spencer, Hedda",Conversation/composition
2198-80063,Fa19-HEB-126585-01-Hebrew-Teaching Intern,"Kimelman, Hava",Hebrew-Teaching Intern
2198-80064,Fa19-HEB-126715-01-Composition & Conversat,"Harari-Spencer, Hedda",Composition & Conversat
2198-80066,Fa19-ILVS-141374-01-Art of the Moving Image,"Turvey, Malcolm",Art of the Moving Image
2198-80067,Fa19-ILVS-141374-RA-Art of the Moving Image,"Turvey, Malcolm",Art of the Moving Image
2198-80068,Fa19-ILVS-141374-RB-Art of the Moving Image,"Turvey, Malcolm",Art of the Moving Image
2198-80070,Fa19-ILVS-126000-01-Classics Of World Cinema,"Rosenberg, Joel",Classics Of World Cinema
2198-80072,Fa19-ILVS-140590-01-Book Of Genesis & Interp,"Rosenberg, Joel",Book Of Genesis & Interp
2198-80074,Fa19-ILVS-143224-01-TV in the Age of Change,,TV in the Age of Change
2198-80079,Fa19-ILVS-125894-02-Special Topics,"Rastegar, Kamran",Special Topics
2198-80085,Fa19-JPN-126570-A-Elementary Japanese,"Kagawa, Kiyomi",Elementary Japanese
2198-80086,Fa19-JPN-126570-B-Elementary Japanese,"Kagawa, Kiyomi",Elementary Japanese
2198-80087,Fa19-JPN-126570-C-Elementary Japanese,"Yagi, Miki",Elementary Japanese
2198-80088,Fa19-JPN-126570-D-Elementary Japanese,"Yagi, Miki",Elementary Japanese
2198-80089,Fa19-JPN-126660-A-Intermediate Japanese,"Kagawa, Kiyomi",Intermediate Japanese
2198-80090,Fa19-JPN-126660-B-Intermediate Japanese,"Koizumi, Shiori",Intermediate Japanese
2198-80091,Fa19-JPN-126660-C-Intermediate Japanese,"Koizumi, Shiori",Intermediate Japanese
2198-80092,Fa19-JPN-126828-A-Reading & Conversation,"Yagi, Miki",Reading & Conversation
2198-80093,Fa19-JPN-127058-01-Modern Japanese Lit,"Hirata, Hosea",Modern Japanese Lit
2198-80095,Fa19-JPN-127493-01-Haruki Murakami,"Hirata, Hosea",Haruki Murakami
2198-80096,Fa19-JPN-127530-01-Advanced Japanese,"Koizumi, Shiori",Advanced Japanese
2198-80099,Fa19-JPN-128549-01-Advanced Directed Study,,Advanced Directed Study
2198-80100,Fa19-JS-120473-01-Intro To Talmud,"Braunig, Jordan",Intro To Talmud
2198-80101,Fa19-JS-121367-01-Book Of Genesis & Interp,"Rosenberg, Joel",Book Of Genesis & Interp
2198-80102,Fa19-JS-142566-01-Senior Honors Thesis A,,Senior Honors Thesis A
2198-80103,Fa19-JS-142168-01-Intro To Hebrew Bible,"Hutaff, Margaret",Intro To Hebrew Bible
2198-80105,Fa19-RUS-133698-A-Elementary Russian,"Aptekman, Marina",Elementary Russian
2198-80106,Fa19-RUS-133698-B-Elementary Russian,,Elementary Russian
2198-80107,Fa19-RUS-133756-A-Intermediate Russian,"Aptekman, Marina",Intermediate Russian
2198-80108,Fa19-RUS-133786-01-Composition/conversation,"Johnson, Vida",Composition/conversation
2198-80109,Fa19-RUS-134163-01-Russian Film,"Johnson, Vida",Russian Film
2198-80110,Fa19-RUS-134554-01-Internship,,Internship
2198-80111,Fa19-RUS-135025-01-Advanced Russian,"Gassel-Vozlinskaya, Tatyana",Advanced Russian
2198-80117,Fa19-SOC-136411-01-Intro To Sociology,"Marrow, Helen",Intro To Sociology
2198-80118,Fa19-SOC-137823-01-Sociology of Race & Ethnicity,"Gordon, Daanika",Sociology of Race & Ethnicity
2198-80119,Fa19-SOC-136596-01-Family & Intimate Relatn,"Dzitko, Jon",Family & Intimate Relatn
2198-80120,Fa19-SOC-136687-01-Sex & Gender In Society,"Nava-coulter, Brett",Sex & Gender In Society
2198-80122,Fa19-SOC-136978-02-Internship,"Marrow, Helen",Internship
2198-80125,Fa19-SOC-136978-03-Internship,"Blume Oeur, Freeden",Internship
2198-80126,Fa19-SOC-141393-01-Research Design and Interpreta,"Weinberg, Jill",Research Design and Interpreta
2198-80127,Fa19-SOC-137379-01-Qualitative Res Methods,"Marrow, Helen",Qualitative Res Methods
2198-80128,Fa19-SOC-137960-01-Criminology,"Gordon, Daanika",Criminology
2198-80129,Fa19-SOC-138011-01-Urban Sociology,"Fahlberg, Anjuli",Urban Sociology
2198-80136,Fa19-SOC-134504-02-Independent Study,"Marrow, Helen",Independent Study
2198-80138,Fa19-SOC-134757-02-Dir Research Sociology,"Marrow, Helen",Dir Research Sociology
2198-80139,Fa19-SOC-134854-01-Senior Honors Thesis A,"Sobieraj, Sarah",Senior Honors Thesis A
2198-80140,Fa19-SOC-134854-02-Senior Honors Thesis A,"Marrow, Helen",Senior Honors Thesis A
2198-80141,Fa19-SOC-134854-03-Senior Honors Thesis A,"Blume Oeur, Freeden",Senior Honors Thesis A
2198-80144,Fa19-SOC-136978-05-Internship,"Fahlberg, Anjuli",Internship
2198-80145,Fa19-SOC-134854-06-Senior Honors Thesis A,"Joseph, Paul",Senior Honors Thesis A
2198-80147,Fa19-HIST-126920-221-Readings In Global History,"Manjapra, Kris",Readings In Global History
2198-80148,Fa19-HIST-126959-222-Readings In Global History,,Readings In Global History
2198-80166,Fa19-HIST-128983-240-Readings in East Asian History,"Xu, Man",Readings in East Asian History
2198-80167,Fa19-HIST-141569-242-Readings in East Asian History,"Leupp, Gary",Readings in East Asian History
2198-80174,Fa19-HIST-120015-250-Readings in South Asian Hist,"Jalal, Ayesha",Readings in South Asian Hist
2198-80175,Fa19-HIST-141573-251-Readings in South Asian Histor,"Manjapra, Kris",Readings in South Asian Histor
2198-80176,Fa19-HIST-139389-252-Readings in South Asian Hist,"Jalal, Ayesha",Readings in South Asian Hist
2198-80183,Fa19-HIST-120581-262-Rdngs Mid East/Cent Asian Hist,"Roberts, Hugh",Rdngs Mid East/Cent Asian Hist
2198-80190,Fa19-HIST-120893-270-Readings in African History,,Readings in African History
2198-80207,Fa19-HIST-126009-295-Master's Thesis,"Applebaum, Rachel; Baghdiantz-McCabe, Ina; Drachman, Virginia; Ekbladh, David; Field, Kendra; Foster, Elizabeth; Jalal, Ayesha; Leupp, Gary; Manjapra, Kris; Manz, Beatrice; Marrone, Steven; Proctor, David; Rankin, Alisha; Rice, James; Roberts, Hugh; Ueda, Reed; Winn, Peter; Xu, Man",Master's Thesis
2198-80208,Fa19-HIST-126323-297-Phd Dissertation,,Phd Dissertation
2198-80209,Fa19-HIST-120118-PT-Masters Degree Cont,,Masters Degree Cont
2198-80210,Fa19-HIST-120219-FT-Masters Cont Full Time,,Masters Cont Full Time
2198-80211,Fa19-HIST-120232-TA-Grad Teaching Assistant,,Grad Teaching Assistant
2198-80212,Fa19-HIST-120246-RA-Grad Research Assistant,,Grad Research Assistant
2198-80213,Fa19-HIST-120299-PT-Phd Continuation Pt,,Phd Continuation Pt
2198-80214,Fa19-HIST-120354-FT-Phd Continuation Ft,,Phd Continuation Ft
2198-80215,Fa19-HIST-140620-07-Rise of the Modern Woman,"Drachman, Virginia",Rise of the Modern Woman
2198-80217,Fa19-HIST-122510-12-Europe To 1815,"Proctor, David",Europe To 1815
2198-80218,Fa19-HIST-122510-RA-Europe To 1815,"Proctor, David",Europe To 1815
2198-80219,Fa19-HIST-122510-RB-Europe To 1815,"Proctor, David",Europe To 1815
2198-80220,Fa19-HIST-122510-RC-Europe To 1815,"Proctor, David",Europe To 1815
2198-80221,Fa19-HIST-122510-RD-Europe To 1815,"Proctor, David",Europe To 1815
2198-80222,Fa19-HIST-122723-13-Europe Early Middle Ages,"Marrone, Steven",Europe Early Middle Ages
2198-80223,Fa19-HIST-123101-15-Byzantine World,"Proctor, David",Byzantine World
2198-80224,Fa19-HIST-123101-RA-Byzantine World,"Proctor, David",Byzantine World
2198-80225,Fa19-HIST-123101-RB-Byzantine World,"Proctor, David",Byzantine World
2198-80226,Fa19-HIST-123101-RC-Byzantine World,"Proctor, David",Byzantine World
2198-80227,Fa19-HIST-123101-RD-Byzantine World,"Proctor, David",Byzantine World
2198-80228,Fa19-HIST-125197-45-Adv Sp Tps: South Asia,"Jalal, Ayesha",Adv Sp Tps: South Asia
2198-80230,Fa19-HIST-125676-70-Historiography,"Baghdiantz-McCabe, Ina",Historiography
2198-80231,Fa19-HIST-122173-01-Hist Of Ancient Greece,"Hitchner, R.",Hist Of Ancient Greece
2198-80232,Fa19-HIST-123777-01-Ancient Grk/rom Medicine,"Phillips, Joanne",Ancient Grk/rom Medicine
2198-80233,Fa19-HIST-122173-RA-Hist Of Ancient Greece,"Hitchner, R.",Hist Of Ancient Greece
2198-80234,Fa19-HIST-122173-RB-Hist Of Ancient Greece,"Hitchner, R.",Hist Of Ancient Greece
2198-80235,Fa19-HIST-122173-RC-Hist Of Ancient Greece,"Hitchner, R.",Hist Of Ancient Greece
2198-80236,Fa19-HIST-125546-01-Ancient Egypt,"Harrington, James",Ancient Egypt
2198-80237,Fa19-HIST-122839-02-Museums:mission&function,"Iacobucci, Cara",Museums:mission&function
2198-80238,Fa19-HIST-129121-01-Hist of Christianity 1,"Eyl, Jennifer",Hist of Christianity 1
2198-80244,Fa19-HIST-121248-07-Japan To 1868,"Leupp, Gary",Japan To 1868
2198-80245,Fa19-HIST-121662-10-Modern South Asia,"Jalal, Ayesha",Modern South Asia
2198-80253,Fa19-HIST-122562-25-Religion: Japanese Hist,"Leupp, Gary",Religion: Japanese Hist
2198-80259,Fa19-HIST-124316-33-Museum Practicum,"Robinson, Cynthia",Museum Practicum
2198-80260,Fa19-HIST-122752-55-Undergraduate Internship,,Undergraduate Internship
2198-80262,Fa19-HIST-122144-01-Religion & U.S. Politics,"Curtis, Heather",Religion & U.S. Politics
2198-80263,Fa19-HIST-140710-01-War & Society in Middle East,"Fawaz, Leila",War & Society in Middle East
2198-80264,Fa19-HIST-125421-01-Adv Sp Tp: Me/c Asia,"Manz, Beatrice",Adv Sp Tp: Me/c Asia
2198-80266,Fa19-HIST-122510-RE-Europe To 1815,"Proctor, David",Europe To 1815
2198-80267,Fa19-HIST-140619-01-Senior Thesis Colloquium,"Rankin, Alisha",Senior Thesis Colloquium
2198-80269,Fa19-HIST-129692-01-Hist Persp/crises Africa,"Conz, Christopher",Hist Persp/crises Africa
2198-80270,Fa19-HIST-126676-01-Special Topics: Europe,"Rossi, Andreola",Special Topics: Europe
2198-80271,Fa19-HIST-141577-01-Readings in Middle Eastern/Cen,"Manz, Beatrice",Readings in Middle Eastern/Cen
2198-80272,Fa19-HIST-125888-01-Indep Stdy:world/transrg,"Field, Kendra",Indep Stdy:world/transrg
2198-80278,Fa19-HIST-126832-02-Readings In Global History,"Manjapra, Kris",Readings In Global History
2198-80283,Fa19-CSHD-102968-01-Child Study & Human Developmen,"Crehan, Eileen",Child Study & Human Developmen
2198-80284,Fa19-CSHD-141041-01-Inquiry and Analysis in CSHD,"Casey, Mary",Inquiry and Analysis in CSHD
2198-80285,Fa19-CSHD-103111-01-Personal & Soc Dev,"Pott, Martha",Personal & Soc Dev
2198-80286,Fa19-CSHD-103130-01-Childhood Across Culture,"Mistry, Jayanthi",Childhood Across Culture
2198-80287,Fa19-CSHD-103153-01-Parent Child Relations,"Casey, Mary",Parent Child Relations
2198-80288,Fa19-CSHD-103175-01-Adolescent & Development,"Leventhal, Tama",Adolescent & Development
2198-80289,Fa19-CSHD-103225-01-Exceptional Child,"Elion, Leandra",Exceptional Child
2198-80291,Fa19-CSHD-138835-01-Child Health Sem/Fieldwork,"Modry-Mandell, Kerri",Child Health Sem/Fieldwork
2198-80292,Fa19-CSHD-104041-01-American Sign Language,"Lipsky, James",American Sign Language
2198-80293,Fa19-CSHD-104152-01-American Sign Lang II,"Vincent-Meotti, Nancy",American Sign Lang II
2198-80294,Fa19-CSHD-104193-01-American Sign Lang III,"Lipsky, James",American Sign Lang III
2198-80295,Fa19-CSHD-104786-01-Tech Tools For Learning,"Sullivan, Amanda",Tech Tools For Learning
2198-80296,Fa19-CSHD-104808-01-Applied Data Analysis,"Johnson, Sara",Applied Data Analysis
2198-80297,Fa19-CSHD-105145-01-Development Of Language,"Gidney, Calvin",Development Of Language
2198-80299,Fa19-CSHD-138824-01-Family-School Connections,"McWayne, Christine",Family-School Connections
2198-80300,Fa19-CSHD-105536-01-Children's Play,"Scarlett, W",Children's Play
2198-80301,Fa19-CSHD-106853-01-Dev Psychopathology&adap,"Modry-Mandell, Kerri",Dev Psychopathology&adap
2198-80304,Fa19-CSHD-107415-01-Doctoral Pro Seminar A,"Leventhal, Tama",Doctoral Pro Seminar A
2198-80305,Fa19-CSHD-139850-01-MasterÃ¢ÂÂs Pro Seminar,"Pinderhughes, Ellen",MasterÃ¢ÂÂs Pro Seminar
2198-80306,Fa19-CSHD-107436-01-Theories of Human Development,"Mistry, Jayanthi",Theories of Human Development
2198-80307,Fa19-CSHD-108203-01-Program Evaluation,"Goldman, Laurie",Program Evaluation
2198-80308,Fa19-CSHD-108540-01-Sem Child & Mass Media,"Dobrow, Julie",Sem Child & Mass Media
2198-80309,Fa19-CSHD-102968-A-Child Study & Human Developmen,,Child Study & Human Developmen
2198-80310,Fa19-CSHD-102968-B-Child Study & Human Developmen,,Child Study & Human Developmen
2198-80311,Fa19-CSHD-102968-C-Child Study & Human Developmen,,Child Study & Human Developmen
2198-80312,Fa19-CSHD-103111-RA-Personal & Soc Dev,"Pott, Martha",Personal & Soc Dev
2198-80313,Fa19-CSHD-103111-RB-Personal & Soc Dev,"Pott, Martha",Personal & Soc Dev
2198-80315,Fa19-CSHD-107735-01-Doctoral Internship,"Bers, Marina; Dobrow, Julie; Easterbrooks, M; Feldman, David; Fleary, Sasha; Gidney, Calvin; Johnson, Bruce; Johnson, Sara; Lerner, Richard; Leventhal, Tama; McWayne, Christine; Mistry, Jayanthi; Modry-Mandell, Kerri; Pinderhughes, Ellen; Pott, Martha; Scarlett, W",Doctoral Internship
2198-80316,Fa19-CSHD-107776-01-Teaching Internship,"Bers, Marina; Dobrow, Julie; Easterbrooks, M; Feldman, David; Fleary, Sasha; Gidney, Calvin; Johnson, Bruce; Johnson, Sara; Lerner, Richard; Leventhal, Tama; McWayne, Christine; Mistry, Jayanthi; Modry-Mandell, Kerri; Pinderhughes, Ellen; Pott, Martha; Scarlett, W",Teaching Internship
2198-80317,Fa19-CSHD-107926-01-Directed Research,"Bers, Marina; Dobrow, Julie; Easterbrooks, M; Feldman, David; Fleary, Sasha; Gidney, Calvin; Johnson, Bruce; Johnson, Sara; Lerner, Richard; Leventhal, Tama; McWayne, Christine; Mistry, Jayanthi; Modry-Mandell, Kerri; Pinderhughes, Ellen; Pott, Martha; Scarlett, W; Sullivan, Amanda",Directed Research
2198-80318,Fa19-CSHD-108161-01-Thesis,"Bers, Marina; Crehan, Eileen; Dobrow, Julie; Easterbrooks, M; Feldman, David; Fleary, Sasha; Gidney, Calvin; Johnson, Bruce; Johnson, Sara; Lerner, Richard; Leventhal, Tama; McWayne, Christine; Mistry, Jayanthi; Modry-Mandell, Kerri; Pinderhughes, Ellen; Pott, Martha; Scarlett, W",Thesis
2198-80319,Fa19-CSHD-108883-01-Doctoral Dissertation,"Bers, Marina; Dobrow, Julie; Easterbrooks, M; Feldman, David; Fleary, Sasha; Gidney, Calvin; Johnson, Bruce; Johnson, Sara; Lerner, Richard; Leventhal, Tama; McWayne, Christine; Mistry, Jayanthi; Modry-Mandell, Kerri; Pinderhughes, Ellen; Pott, Martha; Scarlett, W",Doctoral Dissertation
2198-80320,Fa19-CSHD-109080-PT-Masters Degree Cont,,Masters Degree Cont
2198-80321,Fa19-CSHD-109106-FT-Masters Degree Cont,,Masters Degree Cont
2198-80322,Fa19-CSHD-109126-TA-Grad Teaching Assistant,,Grad Teaching Assistant
2198-80323,Fa19-CSHD-109157-RA-Grad Research Assistant,,Grad Research Assistant
2198-80324,Fa19-CSHD-109177-PT-Doctoral Degree Cont,,Doctoral Degree Cont
2198-80325,Fa19-CSHD-109198-FT-Doctoral Degree Cont,,Doctoral Degree Cont
2198-80326,Fa19-CSHD-107269-A-Senior Honors Thesis A,,Senior Honors Thesis A
2198-80328,Fa19-CSHD-104587-02-Special Topics,"Ryan, Diane",Special Topics
2198-80329,Fa19-CSHD-104587-05-Special Topics,"Crehan, Eileen",Special Topics
2198-80330,Fa19-CSHD-105557-01-Children & Mass Media,"Dobrow, Julie",Children & Mass Media
2198-80331,Fa19-CSHD-106319-01-Creative Dance for Children,"Celichowska, Renata",Creative Dance for Children
2198-80336,Fa19-CSHD-104587-08-Special Topics,"Smith, Cynthia",Special Topics
2198-80337,Fa19-CSHD-104587-10-Special Topics,"Gidney, Calvin",Special Topics
2198-80338,Fa19-CSHD-138835-TC-Child Health Sem/Fieldwork,"Link, Ute",Child Health Sem/Fieldwork
2198-80340,Fa19-EC-109441-01-Financial Accounting,"McHugh, Christopher",Financial Accounting
2198-80341,Fa19-EC-109500-01-Principles Economics,"Ulusoy, Fahri",Principles Economics
2198-80342,Fa19-EC-109540-01-Business Law,"Kronberg, Peter",Business Law
2198-80359,Fa19-EC-109797-01-Intermed Microecon Thry,"Ulusoy, Fahri",Intermed Microecon Thry
2198-80360,Fa19-EC-109797-02-Intermed Microecon Thry,"Emerick, Kyle",Intermed Microecon Thry
2198-80361,Fa19-EC-109797-03-Intermed Microecon Thry,"Menegotto, Deborah",Intermed Microecon Thry
2198-80362,Fa19-EC-109797-04-Intermed Microecon Thry,"Luallen, Jeremy",Intermed Microecon Thry
2198-80363,Fa19-EC-109797-05-Intermed Microecon Thry,"Luallen, Jeremy",Intermed Microecon Thry
2198-80364,Fa19-EC-109797-06-Intermed Microecon Thry,"Emerick, Kyle",Intermed Microecon Thry
2198-80365,Fa19-EC-109929-01-Intermed Macroecon Thry,"Switala, Andre",Intermed Macroecon Thry
2198-80366,Fa19-EC-109929-02-Intermed Macroecon Thry,"Switala, Andre",Intermed Macroecon Thry
2198-80367,Fa19-EC-109929-03-Intermed Macroecon Thry,"Fusillo, Michael",Intermed Macroecon Thry
2198-80368,Fa19-EC-109929-04-Intermed Macroecon Thry,"Fusillo, Michael",Intermed Macroecon Thry
2198-80369,Fa19-EC-109929-05-Intermed Macroecon Thry,"Fusillo, Michael",Intermed Macroecon Thry
2198-80370,Fa19-EC-109981-01-Statistics,"Downes, Thomas",Statistics
2198-80371,Fa19-EC-109981-02-Statistics,"Quinn, Michael",Statistics
2198-80372,Fa19-EC-109981-RA-Statistics,"Downes, Thomas; Quinn, Michael",Statistics
2198-80373,Fa19-EC-109981-RB-Statistics,"Downes, Thomas; Quinn, Michael",Statistics
2198-80374,Fa19-EC-109981-RC-Statistics,"Downes, Thomas; Quinn, Michael",Statistics
2198-80375,Fa19-EC-109981-RD-Statistics,"Downes, Thomas; Quinn, Michael",Statistics
2198-80376,Fa19-EC-109981-RE-Statistics,"Downes, Thomas; Quinn, Michael",Statistics
2198-80377,Fa19-EC-109981-RF-Statistics,"Downes, Thomas; Quinn, Michael",Statistics
2198-80378,Fa19-EC-110047-01-Basic Econometrics,,Basic Econometrics
2198-80379,Fa19-EC-110047-02-Basic Econometrics,"McInerney, Melissa",Basic Econometrics
2198-80380,Fa19-EC-110047-03-Basic Econometrics,"McInerney, Melissa",Basic Econometrics
2198-80381,Fa19-EC-110047-04-Basic Econometrics,,Basic Econometrics
2198-80382,Fa19-EC-110047-05-Basic Econometrics,"Turner, Sergio",Basic Econometrics
2198-80383,Fa19-EC-110047-RA-Basic Econometrics,,Basic Econometrics
2198-80384,Fa19-EC-110082-01-Foundations Quant Ec,"Kutsoati, Edward",Foundations Quant Ec
2198-80385,Fa19-EC-110206-01-Quant Inter Macroec Thry,"Richards, Daniel",Quant Inter Macroec Thry
2198-80386,Fa19-EC-110252-01-Review Quant Macro Thry,"Richards, Daniel",Review Quant Macro Thry
2198-80387,Fa19-EC-110298-01-Game Theory,"Turner, Sergio",Game Theory
2198-80388,Fa19-EC-110562-01-Environmental Economics,"Roach, Brian",Environmental Economics
2198-80389,Fa19-EC-110562-02-Environmental Economics,"Roach, Brian",Environmental Economics
2198-80390,Fa19-EC-110629-01-Economic Development,"Kinnan, Cynthia",Economic Development
2198-80392,Fa19-EC-110798-01-Health Economics,"Bentkover, Judith",Health Economics
2198-80393,Fa19-EC-110834-01-Introduction to Finance,"Manos, Christopher",Introduction to Finance
2198-80394,Fa19-EC-110834-02-Introduction to Finance,"Driscoll, David",Introduction to Finance
2198-80395,Fa19-EC-110946-01-International Econ,"Spolaore, Enrico",International Econ
2198-80396,Fa19-EC-110946-1RA-International Econ,"Spolaore, Enrico",International Econ
2198-80397,Fa19-EC-110946-1RB-International Econ,"Spolaore, Enrico",International Econ
2198-80398,Fa19-EC-110946-1RC-International Econ,"Spolaore, Enrico",International Econ
2198-80399,Fa19-EC-110946-1RD-International Econ,"Spolaore, Enrico",International Econ
2198-80400,Fa19-EC-110946-1RE-International Econ,"Spolaore, Enrico",International Econ
2198-80401,Fa19-EC-110946-02-International Econ,"Brown, Drusilla",International Econ
2198-80402,Fa19-EC-110946-2RA-International Econ,"Brown, Drusilla",International Econ
2198-80403,Fa19-EC-110946-2RB-International Econ,"Brown, Drusilla",International Econ
2198-80404,Fa19-EC-141773-01-Applied Economics Indep. Study,"Bianconi, Marcelo; Brown, Drusilla; Chakravorty, Ujjayant; Downes, Thomas; Emerick, Kyle; Esposito, Federico; Finkelstein Shapiro, Alan; Forbes, Silke; Gee, Laura; Ioannides, Yannis; Kinnan, Cynthia; Kutsoati, Edward; Manos, Christopher; McInerney, Melissa; McMillan, Margaret; Metcalf, Gilbert; Pepall, Lynne; Richards, Daniel; Setren, Elizabeth; Spolaore, Enrico; Storeygard, Adam; Zabel, Jeffrey",Applied Economics Indep. Study
2198-80405,Fa19-EC-111985-01-Intro Selected Topics,"Hardman, Anna",Intro Selected Topics
2198-80406,Fa19-EC-112723-01-Econometric Analysis,"Bianconi, Marcelo",Econometric Analysis
2198-80407,Fa19-EC-112723-02-Econometric Analysis,"Forbes, Silke",Econometric Analysis
2198-80408,Fa19-EC-112895-01-Rev Econometric Analysis,"Bianconi, Marcelo",Rev Econometric Analysis
2198-80409,Fa19-EC-140436-01-Behavioral Economics,"Gee, Laura",Behavioral Economics
2198-80410,Fa19-EC-140436-02-Behavioral Economics,"Gee, Laura",Behavioral Economics
2198-80411,Fa19-EC-113203-01-Quant Econ Growth,"Ioannides, Yannis",Quant Econ Growth
